################################################################################
#
# Includes account 89 (Project=LWAradio)
# Generated on Fri Dec 13 11:51:32 2013.
# Reporting account activity from -Infinity to Now.
#
################################################################################

Beginning Balance:                 0.00
------------------ --------------------
Total Credits:                     0.00
Total Debits:                -784171.40
------------------ --------------------
Ending Balance:              3215828.60

Warning: A discrepancy of         -14400000000 credits was detected
between the logged transactions and the historical account balances.

############################### Credit Detail ##################################


############################### Debit Detail ###################################

Object      Action Instance Project  User    Machine Amount   Time                
----------- ------ -------- -------- ------- ------- -------- ------------------- 
UsageRecord Charge 4329     LWAradio ilikeit torque     -0.00 2013-05-13 15:37:04 
UsageRecord Charge 4689     LWAradio ilikeit torque     -0.44 2013-05-13 23:22:05 
UsageRecord Charge 4690     LWAradio ilikeit torque     -0.31 2013-05-13 23:27:57 
UsageRecord Charge 4691     LWAradio ilikeit torque     -0.36 2013-05-13 23:31:49 
UsageRecord Charge 4692     LWAradio ilikeit torque     -0.31 2013-05-13 23:38:06 
UsageRecord Charge 4693     LWAradio ilikeit torque  -2662.58 2013-05-14 16:19:32 
UsageRecord Charge 4824     LWAradio ilikeit torque   -235.54 2013-05-16 12:28:02 
UsageRecord Charge 4841     LWAradio ilikeit torque   -894.50 2013-05-16 16:16:42 
UsageRecord Charge 4856     LWAradio ilikeit torque     -2.39 2013-05-16 17:11:15 
UsageRecord Charge 4895     LWAradio ilikeit torque     -0.23 2013-05-17 10:41:22 
UsageRecord Charge 5135     LWAradio ilikeit torque     -1.71 2013-05-17 16:20:15 
UsageRecord Charge 5137     LWAradio ilikeit torque  -2793.00 2013-05-18 11:04:55 
UsageRecord Charge 4900     LWAradio ilikeit torque    -25.56 2013-05-18 12:16:51 
UsageRecord Charge 5440     LWAradio ilikeit torque  -1264.89 2013-05-20 19:16:13 
UsageRecord Charge 5480     LWAradio ilikeit torque     -0.05 2013-05-20 19:54:17 
UsageRecord Charge 5481     LWAradio ilikeit torque     -1.91 2013-05-20 20:52:41 
UsageRecord Charge 5542     LWAradio ilikeit torque     -7.79 2013-05-21 15:19:01 
UsageRecord Charge 5564     LWAradio ilikeit torque  -2653.62 2013-05-22 11:43:55 
UsageRecord Charge 5683     LWAradio ilikeit torque     -0.01 2013-05-22 20:31:01 
UsageRecord Charge 5684     LWAradio ilikeit torque     -0.01 2013-05-22 20:35:09 
UsageRecord Charge 5685     LWAradio ilikeit torque     -0.19 2013-05-22 20:58:07 
UsageRecord Charge 5686     LWAradio ilikeit torque   -440.83 2013-05-23 00:30:37 
UsageRecord Charge 5687     LWAradio ilikeit torque     -0.01 2013-05-23 01:05:26 
UsageRecord Charge 5688     LWAradio ilikeit torque     -0.05 2013-05-23 01:07:25 
UsageRecord Charge 5689     LWAradio ilikeit torque     -1.50 2013-05-23 01:22:18 
UsageRecord Charge 5691     LWAradio ilikeit torque     -1.22 2013-05-23 01:37:35 
UsageRecord Charge 5692     LWAradio ilikeit torque     -9.71 2013-05-23 11:24:51 
UsageRecord Charge 5747     LWAradio ilikeit torque     -0.00 2013-05-23 14:57:05 
UsageRecord Charge 5722     LWAradio ilikeit torque     -4.06 2013-05-23 15:25:27 
UsageRecord Charge 5826     LWAradio ilikeit torque     -0.03 2013-05-24 13:47:09 
UsageRecord Charge 5800     LWAradio ilikeit torque    -42.35 2013-05-24 13:48:05 
UsageRecord Charge 5827     LWAradio ilikeit torque     -7.96 2013-05-24 14:18:33 
UsageRecord Charge 5844     LWAradio ilikeit torque     -0.29 2013-05-24 18:08:44 
UsageRecord Charge 5845     LWAradio ilikeit torque     -6.09 2013-05-24 18:32:30 
UsageRecord Charge 5869     LWAradio ilikeit torque     -1.62 2013-05-25 02:46:13 
UsageRecord Charge 5900     LWAradio ilikeit torque     -0.01 2013-05-25 17:00:08 
UsageRecord Charge 5902     LWAradio ilikeit torque     -0.01 2013-05-25 17:03:47 
UsageRecord Charge 5903     LWAradio ilikeit torque     -0.04 2013-05-25 17:06:15 
UsageRecord Charge 5904     LWAradio ilikeit torque     -3.15 2013-05-25 18:16:34 
UsageRecord Charge 6015     LWAradio ilikeit torque     -0.02 2013-05-26 19:22:32 
UsageRecord Charge 6016     LWAradio ilikeit torque     -4.86 2013-05-26 21:01:16 
UsageRecord Charge 6017     LWAradio ilikeit torque     -0.06 2013-05-26 21:03:36 
UsageRecord Charge 6018     LWAradio ilikeit torque     -0.04 2013-05-26 21:03:56 
UsageRecord Charge 6020     LWAradio ilikeit torque     -0.04 2013-05-26 21:04:24 
UsageRecord Charge 6019     LWAradio ilikeit torque     -0.17 2013-05-26 21:04:44 
